tournament_url,tournament_name,country_id,country_name,tournament_id,tournament_stage_id,tournament_template_id,season_id,tournament_stages_json
/football/germany/oberliga-rheinland-pfalz-saar/,Oberliga Rheinland-Pfalz/Saar,81,Germany,YLr67Zfd,8tPieF2b,pAYoEyRc,187,"[{""tournament_stage_id"": ""8tPieF2b"", ""name"": ""Main""}]"
/football/germany/oberliga-bayern-nord/,Oberliga Bayern Nord,81,Germany,IZq1Vxm3,lS666WGG,YcZH14S6,187,"[{""tournament_stage_id"": ""lS666WGG"", ""name"": ""Main""}]"
/football/germany/oberliga-bayern-sud/,Oberliga Bayern Süd,81,Germany,4frVUGHF,pf0F4AoT,MNVD2pD0,187,"[{""tournament_stage_id"": ""pf0F4AoT"", ""name"": ""Main""}]"
/football/germany/oberliga-baden-wurttemberg/,Oberliga Baden-Württemberg,81,Germany,4v0nTfnS,tQooal9j,djqrpSVo,187,"[{""tournament_stage_id"": ""tQooal9j"", ""name"": ""Main""}]"
/football/germany/oberliga-mittelrhein/,Oberliga Mittelrhein,81,Germany,0AoINY9k,llrLLi1c,O0XkDet4,187,"[{""tournament_stage_id"": ""llrLLi1c"", ""name"": ""Main""}]"
/football/germany/oberliga-niederrhein/,Oberliga Niederrhein,81,Germany,b7duNCv2,dEoTJVV9,xtZLDHBi,187,"[{""tournament_stage_id"": ""dEoTJVV9"", ""name"": ""Main""}]"
/football/germany/oberliga-nrw/,Oberliga NRW,81,Germany,6qo2KXnA,KG1kEFtC,KYurXCc1,80,"[{""tournament_stage_id"": ""KG1kEFtC"", ""name"": ""Main""}]"
/football/germany/oberliga-bayern/,Oberliga Bayern,81,Germany,2kTnbRDU,WAx1dahJ,O2hXNLCP,80,"[{""tournament_stage_id"": ""WAx1dahJ"", ""name"": ""Main""}]"
/football/germany/oberliga-bayern-relegation/,Oberliga Bayern - Relegation,81,Germany,AiLYe8iP,CUNgvioF,CpMaoseh,184,"[{""tournament_stage_id"": ""CUNgvioF"", ""name"": ""Main""}]"
/football/germany/oberliga-play-offs/,Oberliga Play Offs,81,Germany,C070iSat,OxNHBY1M,UmHWv8n9,184,"[{""tournament_stage_id"": ""OxNHBY1M"", ""name"": ""Main""}, {""tournament_stage_id"": ""0IGe4jfd"", ""name"": ""Main""}]"
/football/germany/dfb-pokal/,DFB Pokal,81,Germany,vcnpSoof,KKM91NFr,MNEDyOlF,187,"[{""tournament_stage_id"": ""KKM91NFr"", ""name"": ""Main""}]"
/football/germany/super-cup/,Super Cup,81,Germany,KQA8k6Uh,OIbWij08,bHJMFqJE,182,"[{""tournament_stage_id"": ""OIbWij08"", ""name"": ""Main""}]"
/football/germany/dfb-youth-league/,DFB Youth League,81,Germany,xIp4YNk4,4QFIsvYj,htYaQO9L,187,"[{""tournament_stage_id"": ""Khvnm0AT"", ""name"": ""Preliminary""}, {""tournament_stage_id"": ""4QFIsvYj"", ""name"": ""League A""}, {""tournament_stage_id"": ""UmPL3LfA"", ""name"": ""League B""}]"
/football/germany/dfb-junioren-pokal/,DFB Junioren Pokal,81,Germany,OhzNT2aC,b1WlTaEs,tGIKopP7,187,"[{""tournament_stage_id"": ""b1WlTaEs"", ""name"": ""Main""}]"
/football/germany/kings-league-germany/,Kings League - Germany,81,Germany,27tNQWG8,2uIjKaH5,xOxYeGec,187,"[{""tournament_stage_id"": ""2uIjKaH5"", ""name"": ""Main""}]"
/football/germany/bundesliga-women/,Bundesliga Women,81,Germany,KKTVRtUO,bol6Rwqf,x6Lam4Z8,187,"[{""tournament_stage_id"": ""bol6Rwqf"", ""name"": ""Main""}]"
/football/germany/2-bundesliga-women/,2. Bundesliga Women,81,Germany,vkSmnpFt,4riEPHD6,6wFKOdxG,187,"[{""tournament_stage_id"": ""4riEPHD6"", ""name"": ""Main""}]"
/football/germany/dfb-pokal-women/,DFB Pokal Women,81,Germany,EBGIoOqg,QcuNNerJ,0EDHzr4L,187,"[{""tournament_stage_id"": ""QcuNNerJ"", ""name"": ""Main""}]"
/football/germany/super-cup-women/,Super Cup Women,81,Germany,vDDzThJr,EFq7F6K8,OQal39W1,182,"[{""tournament_stage_id"": ""EFq7F6K8"", ""name"": ""Main""}]"
/football/italy/serie-a/,Serie A,98,Italy,04lKZTBr,6PWwAsA7,COuk57Ci,187,"[{""tournament_stage_id"": ""6PWwAsA7"", ""name"": ""Main""}]"
/football/italy/serie-b/,Serie B,98,Italy,zRxkZ7te,jwYYXp2E,6oug4RRc,187,"[{""tournament_stage_id"": ""jwYYXp2E"", ""name"": ""Main""}]"
/football/italy/serie-c-group-a/,Serie C - Group A,98,Italy,tOucXoB7,p4HJqOoK,jqT0Bapm,187,"[{""tournament_stage_id"": ""p4HJqOoK"", ""name"": ""Main""}]"
/football/italy/serie-c-group-b/,Serie C - Group B,98,Italy,Qyshek3E,Uygjv29s,v9PdCuVt,187,"[{""tournament_stage_id"": ""Uygjv29s"", ""name"": ""Main""}]"
/football/italy/serie-c-group-c/,Serie C - Group C,98,Italy,AV3ovsmm,6LU5xtvf,MsYTtKp0,187,"[{""tournament_stage_id"": ""6LU5xtvf"", ""name"": ""Main""}]"
/football/italy/serie-c-promotion-play-offs/,Serie C - Promotion - Play Offs,98,Italy,0UwVxQ3E,n1aeaq3T,zoxYuv06,184,"[{""tournament_stage_id"": ""n1aeaq3T"", ""name"": ""Main""}]"
/football/italy/serie-c-play-out/,Serie C - Play Out,98,Italy,MwuRw6l8,8A0i0PmN,d0QtvIUI,184,"[{""tournament_stage_id"": ""8A0i0PmN"", ""name"": ""Main""}]"
/football/italy/serie-d-group-a/,Serie D - Group A,98,Italy,tQUXZxHO,OtJmiugm,lK4fBirm,187,"[{""tournament_stage_id"": ""OtJmiugm"", ""name"": ""Main""}]"
/football/italy/serie-d-group-b/,Serie D - Group B,98,Italy,z7Ykft2t,juioVlxo,dl4KBBcg,187,"[{""tournament_stage_id"": ""juioVlxo"", ""name"": ""Main""}]"
/football/italy/serie-d-group-c/,Serie D - Group C,98,Italy,dMMbhKWh,IypckATG,65x4OVCa,187,"[{""tournament_stage_id"": ""IypckATG"", ""name"": ""Main""}]"
/football/italy/serie-d-group-d/,Serie D - Group D,98,Italy,naqyhb15,EspW5VDc,lUR8NkS5,187,"[{""tournament_stage_id"": ""EspW5VDc"", ""name"": ""Main""}]"
/football/italy/serie-d-group-e/,Serie D - Group E,98,Italy,S8iqjxWH,vwuze55d,2XVCM9sC,187,"[{""tournament_stage_id"": ""vwuze55d"", ""name"": ""Main""}]"
/football/italy/serie-d-group-f/,Serie D - Group F,98,Italy,0MkilG0U,6cGC84Kk,dfVGLTdI,187,"[{""tournament_stage_id"": ""6cGC84Kk"", ""name"": ""Main""}]"
/football/italy/serie-d-group-g/,Serie D - Group G,98,Italy,MavW9Jon,4YNNSPBL,zoUKKmCO,187,"[{""tournament_stage_id"": ""4YNNSPBL"", ""name"": ""Main""}]"
/football/italy/serie-d-group-h/,Serie D - Group H,98,Italy,UPsv8cGb,xQC5sPQE,rDMCqXlP,187,"[{""tournament_stage_id"": ""xQC5sPQE"", ""name"": ""Main""}]"
/football/italy/serie-d-group-i/,Serie D - Group I,98,Italy,fcfe6yoB,2ep3LY9C,pM8vuict,187,"[{""tournament_stage_id"": ""2ep3LY9C"", ""name"": ""Main""}]"
/football/italy/serie-d-winners-stag/,Serie D - Winners stage,98,Italy,AcIZyH2t,r98JGpY3,ImhF8n8h,184,"[{""tournament_stage_id"": ""r98JGpY3"", ""name"": ""Main""}, {""tournament_stage_id"": ""Ma7NF4mA"", ""name"": ""Play Offs""}]"
/football/italy/coppa-italia/,Coppa Italia,98,Italy,z5ujOdVi,vZxaIKKH,bLyo6mco,187,"[{""tournament_stage_id"": ""vZxaIKKH"", ""name"": ""Main""}]"
/football/italy/coppa-italia-serie-c/,Coppa Italia Serie C,98,Italy,ARTKNz04,z1W7GbkU,0AMHbjuF,187,"[{""tournament_stage_id"": ""z1W7GbkU"", ""name"": ""Main""}]"
/football/italy/coppa-italia-serie-d/,Coppa Italia Serie D,98,Italy,p4ONKEUG,fVUPz2zn,6FQ0WJ7j,187,"[{""tournament_stage_id"": ""fVUPz2zn"", ""name"": ""Main""}]"
/football/italy/super-cup/,Super Cup,98,Italy,MkTKZY15,CtfhFGAO,AiiibTti,182,"[{""tournament_stage_id"": ""CtfhFGAO"", ""name"": ""Main""}]"
/football/italy/super-cup-serie-c/,Super Cup (Serie C),98,Italy,4EIPYhHB,4EBrv0mP,rkKK54b6,182,"[{""tournament_stage_id"": ""4EBrv0mP"", ""name"": ""Main""}]"
/football/italy/primavera-1/,Primavera 1,98,Italy,zN4JxzFc,YaMqUc4N,tWO9gjI2,187,"[{""tournament_stage_id"": ""YaMqUc4N"", ""name"": ""Main""}]"
/football/italy/primavera-2/,Primavera 2,98,Italy,8z3RzEqA,dMHIpJl4,l42drEbb,187,"[{""tournament_stage_id"": ""dMHIpJl4"", ""name"": ""Main""}]"
